Locale,App Name,Short Description,Full Description
en,NaviTV Browser,Smart Web Browser for Android TV with D-pad and Mouse mode.,"NaviTV Browser is the ultimate web browser designed specifically for Android TV. Enjoy a seamless browsing experience from the comfort of your couch.

Features:
- D-pad Navigation: Easily navigate web pages using your standard TV remote.
- Virtual Mouse Mode: Toggle a precise pointer for websites that aren't TV-friendly.
- AI Page Summarization: Get quick summaries of long articles with built-in AI.
- Ad-blocking: Browse cleaner with embedded ad-blocking for websites.
- Bookmarks & History: Save your favorite sites and pick up where you left off.
- Fully Optimized: Fast, secure, and built for the big screen."
ar,متصفح NaviTV,متصفح ويب ذكي لـ Android TV مع لوحة اتجاهات ووضع ماوس.,"NaviTV Browser هو متصفح الويب النهائي المصمم خصيصًا لـ Android TV. استمتع بتجربة تصفح سلسة من راحة أريكتك.

الميزات:
- التنقل بلوحة الاتجاهات: تنقل بسهولة في صفحات الويب باستخدام جهاز التحكم عن بعد الخاص بالتلفزيون.
- وضع الماوس الافتراضي: قم بتبديل مؤشر دقيق للمواقع التي لا تدعم التلفزيون.
- تلخيص الصفحة بالذكاء الاصطناعي: احصل على ملخصات سريعة للمقالات الطويلة باستخدام الذكاء الاصطناعي المدمج.
- حظر الإعلانات: تصفح بشكل أنظف مع حظر الإعلانات المدمج للمواقع.
- الإشارات المرجعية والسجل: احفظ مواقعك المفضلة وتابع من حيث توقفت.
- محسن بالكامل: سريع وآمن ومصمم للشاشة الكبيرة."
es,Navegador NaviTV,Navegador inteligente para Android TV con D-pad y modo ratón.,"NaviTV Browser es el navegador web definitivo diseñado específicamente para Android TV. Disfruta de una experiencia de navegación fluida desde la comodidad de tu sofá.

Características:
- Navegación con D-pad: Navega fácilmente por las páginas web con tu mando a distancia estándar.
- Modo Ratón Virtual: Activa un puntero preciso para los sitios que no son compatibles con TV.
- Resumen de páginas con IA: Obtén resúmenes rápidos de artículos largos con IA integrada.
- Bloqueo de anuncios: Navega de forma más limpia con el bloqueo de anuncios integrado.
- Marcadores e historial: Guarda tus sitios favoritos y retoma donde lo dejaste.
- Totalmente optimizado: Rápido, seguro y diseñado para la pantalla grande."
fr,Navigateur NaviTV,Navigateur intelligent pour Android TV avec D-pad et mode souris.,"NaviTV Browser est le navigateur Web ultime conçu spécifiquement pour Android TV. Profitez d'une expérience de navigation fluide depuis votre canapé.

Caractéristiques :
- Navigation D-pad : Naviguez facilement sur les pages Web à l'aide de votre télécommande TV standard.
- Mode souris virtuelle : Activez un pointeur précis pour les sites Web non adaptés à la TV.
- Résumé de page par IA : Obtenez des résumés rapides d'articles longs grâce à l'IA intégrée.
- Blocage des publicités : Naviguez plus proprement grâce au blocage des publicités intégré.
- Favoris et historique : Enregistrez vos sites préférés et reprenez là où vous vous étiez arrêté.
- Entièrement optimisé : Rapide, sécurisé et conçu pour le grand écran."
de,NaviTV Browser,Intelligenter Webbrowser für Android TV mit Steuerkreuz und Mausmodus.,"NaviTV Browser ist der ultimative Webbrowser, der speziell für Android TV entwickelt wurde. Genießen Sie ein nahtloses Surferlebnis bequem von Ihrem Sofa aus.

Funktionen:
- Steuerkreuz-Navigation: Navigieren Sie einfach mit Ihrer Standard-TV-Fernbedienung durch Webseiten.
- Virtueller Mausmodus: Aktivieren Sie einen präzisen Zeiger für Websites, die nicht TV-freundlich sind.
- KI-Seitenzusammenfassung: Erhalten Sie schnelle Zusammenfassungen langer Artikel mit integrierter KI.
- Werbeblocker: Surfen Sie sauberer mit integrierter Werbeblockierung für Websites.
- Lesezeichen & Verlauf: Speichern Sie Ihre Lieblingsseiten und machen Sie dort weiter, wo Sie aufgehört haben.
- Vollständig optimiert: Schnell, sicher und für den großen Bildschirm gebaut."
it,Browser NaviTV,Browser intelligente per Android TV con D-pad e modalità mouse.,"NaviTV Browser è il browser web definitivo progettato specificamente per Android TV. Goditi un'esperienza di navigazione fluida comodamente dal tuo divano.

Caratteristiche:
- Navigazione D-pad: Naviga facilmente nelle pagine web utilizzando il telecomando standard del televisore.
- Modalità Mouse Virtuale: Attiva un puntatore preciso per i siti web che non sono adatti alla TV.
- Riassunto pagina AI: Ottieni riassunti rapidi di lunghi articoli con l'IA integrata.
- Blocco pubblicità: Naviga in modo più pulito con il blocco pubblicità integrato per i siti web.
- Segnalibri e cronologia: Salva i tuoi siti preferiti e riprendi da dove avevi interrotto.
- Completamente ottimizzato: Veloce, sicuro e costruito per il grande schermo."
pt,Navegador NaviTV,Navegador inteligente para Android TV com D-pad e modo mouse.,"O NaviTV Browser é o navegador definitivo projetado especificamente para Android TV. Desfrute de uma experiência de navegação perfeita no conforto do seu sofá.

Recursos:
- Navegação D-pad: Navegue facilmente em páginas web usando o controle remoto padrão da TV.
- Modo Mouse Virtual: Ative um ponteiro preciso para sites que não são amigáveis para TV.
- Resumo de páginas com IA: Obtenha resumos rápidos de artigos longos com IA integrada.
- Bloqueio de anúncios: Navegue de forma mais limpa com bloqueio de anúncios integrado para sites.
- Favoritos e Histórico: Salve seus sites favoritos e continue de onde parou.
- Totalmente otimizado: Rápido, seguro e construído para a tela grande."
ru,Браузер NaviTV,Умный браузер для Android TV с D-pad и режимом мыши.,"NaviTV Browser — это идеальный веб-браузер, разработанный специально для Android TV. Наслаждайтесь плавным просмотром веб-страниц, не вставая с дивана.

Особенности:
- Навигация с помощью D-pad: легко перемещайтесь по веб-страницам с помощью стандартного пульта ДУ.
- Режим виртуальной мыши: используйте точный указатель для сайтов, не оптимизированных для ТВ.
- ИИ-сводка страниц: получайте краткое содержание длинных статей с помощью встроенного ИИ.
- Блокировка рекламы: чистый просмотр благодаря встроенной блокировке рекламы на сайтах.
- Закладки и история: сохраняйте любимые сайты и продолжайте с того места, где остановились.
- Полная оптимизация: быстрый, безопасный и созданный для большого экрана."
ja,NaviTV ブラウザ,Android TV 用のスマート ブラウザ（方向キーとマウスモード搭載）.,"NaviTV Browser は、Android TV 専用に設計された究極のウェブ ブラウザです。ソファでくつろぎながら、シームレスなブラウジング体験をお楽しみください。

特徴：
- 方向キー ナビゲーション: 標準の TV リモコンを使用して、ウェブ ページ内を簡単に移動できます。
- 仮想マウス モード: TV に対応していないサイトでも、精密なポインターに切り替えて操作可能です。
- AI ページ要約: 内蔵 AI により、長い記事の要約をすばやく取得できます。
- 広告ブロック: 埋め込み広告をブロックして、クリーンにブラウジングできます。
- ブックマークと履歴: お気に入りのサイトを保存し、中断したところから再開できます。
- 完全最適化: 高速で安全、大画面向けに構築されています。"
ko,NaviTV 브라우저,D-패드 및 마우스 모드를 지원하는 Android TV용 스마트 브라우저.,"NaviTV Browser는 Android TV 전용으로 설계된 최고의 웹 브라우저입니다. 소파에서 편안하게 원활한 브라우징 경험을 즐기세요.

특징:
- D-패드 탐색: 표준 TV 리모컨을 사용하여 웹 페이지를 쉽게 탐색할 수 있습니다.
- 가상 마우스 모드: TV에 최적화되지 않은 웹사이트를 위해 정밀한 포인터를 사용하세요.
- AI 페이지 요약: 내장된 AI로 긴 기사의 요약을 빠르게 확인하세요.
- 광고 차단: 웹사이트 광고 차단 기능으로 더 깨끗하게 브라우징하세요.
- 북마크 및 기록: 즐겨찾는 사이트를 저장하고 중단한 부분부터 다시 시작하세요.
- 완벽한 최적화: 빠르고 안전하며 대화면에 맞게 구축되었습니다."
hi,NaviTV ब्राउज़र,D-pad और माउस मोड के साथ Android TV के लिए स्मार्ट वेब ब्राउज़र.,"NaviTV ब्राउज़र विशेष रूप से Android TV के लिए डिज़ाइन किया गया बेहतरीन वेब ब्राउज़र है। अपने सोफे पर आराम से बैठकर सहज ब्राउज़िंग अनुभव का आनंद लें।

विशेषताएं:
- D-pad नेविगेशन: अपने मानक टीवी रिमोट का उपयोग करके वेब पेजों को आसानी से नेविगेट करें।
- वर्चुअल मा우스 मोड: उन वेबसाइटों के लिए सटीक पॉइंटर का उपयोग करें जो टीवी के अनुकूल नहीं हैं।
- AI पेज सारांश: अंतर्निहित AI के साथ लंबे लेखों का त्वरित सारांश प्राप्त करें।
- विज्ञापन-अवरोधन: वेबसाइटों के लिए एम्बेडेड विज्ञापन-अवरोधन के साथ स्वच्छ ब्राउज़िंग करें।
- बुकमार्क और इतिहास: अपने पसंदीदा साइटों को सहेजें और वहीं से शुरू करें जहां आपने छोड़ा था।
- पूरी तरह से अनुकूलित: तेज़, सुरक्षित और बड़ी स्क्रीन के लिए निर्मित।"
tr,NaviTV Tarayıcı,D-pad ve Fare modlu Android TV için akıllı web tarayıcısı.,"NaviTV Browser, Android TV için özel olarak tasarlanmış nihai web tarayıcısıdır. Kanepenizin rahatlığında kesintisiz bir tarama deneyiminin keyfini çıkarın.

Özellikler:
- D-pad Navigasyon: Standart TV kumandanızı kullanarak web sayfalarında kolayca gezinin.
- Sanal Fare Modu: TV dostu olmayan web siteleri için hassas bir imleç kullanın.
- AI Sayfa Özetleme: Yerleşik yapay zeka ile uzun makalelerin hızlı özetlerini alın.
- Reklam Engelleme: Web siteleri için gömülü reklam engelleme ile daha temiz gezinin.
- Yer İşaretleri ve Geçmiş: Favori sitelerinizi kaydedin ve kaldığınız yerden devam edin.
- Tam Optimize Edilmiş: Hızlı, güvenli ve büyük ekran için tasarlandı."
vi,Trình duyệt NaviTV,Trình duyệt web thông minh cho Android TV với D-pad và chế độ chuột.,"NaviTV Browser là trình duyệt web tối ưu được thiết kế riêng cho Android TV. Tận hưởng trải nghiệm duyệt web mượt mà ngay tại ghế sofa của bạn.

Tính năng:
- Điều hướng D-pad: Dễ dàng điều hướng các trang web bằng điều khiển TV tiêu chuẩn của bạn.
- Chế độ Chuột ảo: Bật con trỏ chính xác cho các trang web không thân thiện với TV.
- Tóm tắt trang bằng AI: Nhận bản tóm tắt nhanh các bài báo dài với AI tích hợp.
- Chặn quảng cáo: Duyệt web sạch hơn với tính năng chặn quảng cáo tích hợp cho các trang web.
- Dấu trang & Lịch sử: Lưu các trang web yêu thích và tiếp tục từ nơi bạn đã dừng lại.
- Tối ưu hóa hoàn toàn: Nhanh chóng, an toàn và được xây dựng cho màn hình lớn."
